Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,,1981_change,1982_change,1983_change,1984_change,1985_change,1986_change,1987_change,1988_change,1989_change,1990_change,1991_change,1992_change,1993_change,1994_change,1995_change,1996_change,1997_change,1998_change,1999_change,2000_change,2001_change,2002_change,2003_change,2004_change,2005_change,2006_change,2007_change,2008_change,2009_change,2010_change,2011_change,2012_change,2013_change,2014_change,2015_change,2016_change,2017_change,2018_change,2019_change,2020_change,2021_change,2022_change,2023_change,2024_change,2025_change,2026_change,2027_change,2028_change,2029_change
Oman,7.269,8.849,9.285,9.733,10.726,11.916,9.433,9.89,9.613,10.743,13.395,13,14.274,14.321,14.808,15.821,17.512,18.154,16.044,17.833,22.259,22.206,23.066,24.734,28.379,35.507,42.578,48.3,69.805,55.454,64.994,77.497,87.409,89.936,92.699,78.711,75.129,80.857,91.506,88.061,75.909,87.323,111.944,108.811,109.993,111.306,116.185,121.287,126.559,132.641,,21.74,4.93,4.82,10.20,11.09,-20.84,4.84,-2.80,11.75,24.69,-2.95,9.80,0.33,3.40,6.84,10.69,3.67,-11.62,11.15,24.82,-0.24,3.87,7.23,14.74,25.12,19.91,13.44,44.52,-20.56,17.20,19.24,12.79,2.89,3.07,-15.09,-4.55,7.62,13.17,-3.76,-13.80,15.04,28.20,-2.80,1.09,1.19,4.38,4.39,4.35,4.81
Pakistan,38.616,45.681,49.932,46.619,50.612,50.607,51.827,54.171,62.385,65.042,65.276,74.158,79.338,83.969,84.642,98.917,103.296,101.848,101.381,96.008,99.421,96.784,98.169,112.507,132.206,145.209,161.871,184.141,202.204,187.074,196.712,230.577,250.094,258.674,271.422,299.93,313.623,339.229,356.163,321.071,300.41,348.481,374.85,337.457,374.595,no data,no data,no data,no data,no data,,18.30,9.31,-6.64,8.57,-0.01,2.41,4.52,15.16,4.26,0.36,13.61,6.99,5.84,0.80,16.87,4.43,-1.40,-0.46,-5.30,3.55,-2.65,1.43,14.61,17.51,9.84,11.47,13.76,9.81,-7.48,5.15,17.22,8.46,3.43,4.93,10.50,4.57,8.16,4.99,-9.85,-6.44,16.00,7.57,-9.98,11.01,,,,,
Palau,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.15,0.159,0.163,0.155,0.166,0.186,0.191,0.196,0.199,0.184,0.184,0.195,0.215,0.226,0.245,0.283,0.303,0.29,0.288,0.282,0.259,0.236,0.256,0.282,0.316,0.353,0.383,0.401,0.417,0.434,,,,,,,,,,,,,,,,,,,,,,6.00,2.52,-4.91,7.10,12.05,2.69,2.62,1.53,-7.54,0.00,5.98,10.26,5.12,8.41,15.51,7.07,-4.29,-0.69,-2.08,-8.16,-8.88,8.47,10.16,12.06,11.71,8.50,4.70,3.99,4.08
Panama,4.253,4.814,5.319,5.461,5.7,6.03,6.266,6.294,5.441,5.456,5.931,6.522,7.414,8.096,8.633,8.825,10.406,11.245,12.191,12.775,12.958,13.166,13.685,14.422,15.811,17.244,19.109,22.072,26.072,28.104,30.513,35.95,41.902,47.261,51.74,56.062,60.017,64.468,67.294,69.722,57.087,67.407,76.523,83.382,87.347,91.731,97.309,103.225,109.501,116.159,,13.19,10.49,2.67,4.38,5.79,3.91,0.45,-13.55,0.28,8.71,9.96,13.68,9.20,6.63,2.22,17.92,8.06,8.41,4.79,1.43,1.61,3.94,5.39,9.63,9.06,10.82,15.51,18.12,7.79,8.57,17.82,16.56,12.79,9.48,8.35,7.05,7.42,4.38,3.61,-18.12,18.08,13.52,8.96,4.76,5.02,6.08,6.08,6.08,6.08
Papua New Guinea,4.087,4.011,3.805,3.799,3.509,3.25,3.535,3.885,5.4,5.238,4.757,5.596,6.466,7.349,8.077,7.149,7.608,7.272,5.558,5.072,5.169,4.531,4.387,5.488,6.279,7.339,8.355,9.545,11.671,11.619,14.251,17.985,21.295,21.261,23.211,21.723,20.759,22.743,24.11,24.751,23.848,26.113,31.61,30.926,31.896,32.641,33.539,34.561,35.813,36.888,,-1.86,-5.14,-0.16,-7.63,-7.38,8.77,9.90,39.00,-3.00,-9.18,17.64,15.55,13.66,9.91,-11.49,6.42,-4.42,-23.57,-8.74,1.91,-12.34,-3.18,25.10,14.41,16.88,13.84,14.24,22.27,-0.45,22.65,26.20,18.40,-0.16,9.17,-6.41,-4.44,9.56,6.01,2.66,-3.65,9.50,21.05,-2.16,3.14,2.34,2.75,3.05,3.62,3.00
Paraguay,4.095,5.22,5.47,6.069,4.931,4.214,5.032,4.216,5.584,4.046,4.904,6.984,7.158,7.249,7.871,9.062,9.788,9.965,9.26,8.837,8.856,8.496,7.196,7.691,9.624,10.738,13.43,17.856,24.615,22.355,27.129,33.737,33.296,38.651,40.378,36.211,36.09,38.997,40.225,37.925,35.432,39.951,41.953,42.955,44.937,46.803,49.318,52.016,54.874,57.896,,27.47,4.79,10.95,-18.75,-14.54,19.41,-16.22,32.45,-27.54,21.21,42.41,2.49,1.27,8.58,15.13,8.01,1.81,-7.07,-4.57,0.22,-4.07,-15.30,6.88,25.13,11.58,25.07,32.96,37.85,-9.18,21.36,24.36,-1.31,16.08,4.47,-10.32,-0.33,8.05,3.15,-5.72,-6.57,12.75,5.01,2.39,4.61,4.15,5.37,5.47,5.49,5.51
Peru,20.19,24.398,24.259,18.863,19.442,16.823,25.241,41.681,32.978,40.699,28.326,33.988,35.377,34.33,43.225,51.38,53.412,56.281,53.918,48.719,50.414,51.034,53.954,58.537,66.126,74.232,87.459,102.187,121.308,121.892,149.23,171.369,193.276,203.042,203.785,192.85,196.348,216.578,227.583,233.004,206.461,226.372,244.273,266.912,283.309,294.898,306.474,318.954,332.713,347.63,,20.84,-0.57,-22.24,3.07,-13.47,50.04,65.13,-20.88,23.41,-30.40,19.99,4.09,-2.96,25.91,18.87,3.95,5.37,-4.20,-9.64,3.48,1.23,5.72,8.49,12.96,12.26,17.82,16.84,18.71,0.48,22.43,14.84,12.78,5.05,0.37,-5.37,1.81,10.30,5.08,2.38,-11.39,9.64,7.91,9.27,6.14,4.09,3.93,4.07,4.31,4.48
Philippines,37.082,40.735,42.441,37.953,35.86,34.973,34.129,37.932,43.293,48.652,50.508,51.784,60.422,62.037,73.159,84.644,94.65,94.106,74.492,85.64,83.667,78.921,84.307,87.039,95.002,107.42,127.653,155.98,181.007,176.132,208.369,234.217,261.92,283.903,297.484,306.446,318.627,328.481,346.842,376.823,361.751,394.087,404.353,437.146,470.062,507.67,550,595.304,648.975,707.24,,9.85,4.19,-10.57,-5.51,-2.47,-2.41,11.14,14.13,12.38,3.81,2.53,16.68,2.67,17.93,15.70,11.82,-0.57,-20.84,14.97,-2.30,-5.67,6.82,3.24,9.15,13.07,18.84,22.19,16.05,-2.69,18.30,12.40,11.83,8.39,4.78,3.01,3.97,3.09,5.59,8.64,-4.00,8.94,2.61,8.11,7.53,8.00,8.34,8.24,9.02,8.98
Poland,56.731,53.752,65.315,75.555,75.656,70.915,73.822,63.84,68.747,67.027,62.206,80.61,88.888,90.544,103.887,139.363,156.993,157.493,172.389,168.13,171.613,190.805,199.07,217.829,255.292,306.304,344.627,429.021,533.6,439.794,475.697,524.374,495.23,515.762,539.212,476.788,469.65,524.78,588.804,595.968,599.458,681.429,689.888,811.736,862.908,915.451,968.258,1022.517,1071.808,1122.461,,-5.25,21.51,15.68,0.13,-6.27,4.10,-13.52,7.69,-2.50,-7.19,29.59,10.27,1.86,14.74,34.15,12.65,0.32,9.46,-2.47,2.07,11.18,4.33,9.42,17.20,19.98,12.51,24.49,24.38,-17.58,8.16,10.23,-5.56,4.15,4.55,-11.58,-1.50,11.74,12.20,1.22,0.59,13.67,1.24,17.66,6.30,6.09,5.77,5.60,4.82,4.73
Portugal,32.607,32.477,30.678,28.267,25.951,27.231,37.869,47.387,55.435,59.806,79.439,89.904,108.119,95.139,99.692,118.182,122.655,117.211,124.124,127.597,118.658,121.605,134.7,165.185,189.296,197.363,208.767,240.524,263.388,244.402,238.308,245.075,216.361,226.437,229.961,199.414,206.369,221.28,242.423,240.013,228.849,255.705,255.398,287.187,303.032,319.934,333.636,346.029,359.301,373.366,,-0.40,-5.54,-7.86,-8.19,4.93,39.07,25.13,16.98,7.88,32.83,13.17,20.26,-12.01,4.79,18.55,3.78,-4.44,5.90,2.80,-7.01,2.48,10.77,22.63,14.60,4.26,5.78,15.21,9.51,-7.21,-2.49,2.84,-11.72,4.66,1.56,-13.28,3.49,7.23,9.55,-0.99,-4.65,11.74,-0.12,12.45,5.52,5.58,4.28,3.71,3.84,3.91
Puerto Rico,14.436,15.956,16.764,17.277,19.163,20.289,21.969,23.878,26.178,28.267,30.604,32.287,34.63,36.923,39.691,42.647,45.341,48.187,54.086,57.841,61.702,69.669,72.546,75.834,80.322,83.915,87.276,89.524,93.639,96.386,98.381,100.352,101.565,102.45,102.446,103.376,104.337,103.446,100.958,105.126,103.131,106.427,113.567,117.902,120.971,122.234,124.293,128.065,131.196,134.327,,10.53,5.06,3.06,10.92,5.88,8.28,8.69,9.63,7.98,8.27,5.50,7.26,6.62,7.50,7.45,6.32,6.28,12.24,6.94,6.68,12.91,4.13,4.53,5.92,4.47,4.01,2.58,4.60,2.93,2.07,2.00,1.21,0.87,-0.00,0.91,0.93,-0.85,-2.41,4.13,-1.90,3.20,6.71,3.82,2.60,1.04,1.68,3.03,2.44,2.39
Qatar,6.665,7.374,6.467,5.506,5.708,5.339,4.214,4.441,4.26,4.502,6.266,5.579,6.384,5.804,5.946,6.861,7.761,9.976,8.488,11.266,18.085,17.498,19.334,23.716,30.651,44.636,58.629,75.987,112.621,88.196,119.707,167.775,186.834,198.728,206.225,161.74,151.732,161.099,183.335,176.371,144.411,179.732,235.709,213.003,221.406,226.217,242.135,262.192,273.785,281.832,,10.64,-12.30,-14.86,3.67,-6.46,-21.07,5.39,-4.08,5.68,39.18,-10.96,14.43,-9.09,2.45,15.39,13.12,28.54,-14.92,32.73,60.53,-3.25,10.49,22.66,29.24,45.63,31.35,29.61,48.21,-21.69,35.73,40.15,11.36,6.37,3.77,-21.57,-6.19,6.17,13.80,-3.80,-18.12,24.46,31.14,-9.63,3.95,2.17,7.04,8.28,4.42,2.94
Romania,46.053,55.319,55.375,48.401,39.111,48.286,52.29,58.477,60.538,54.236,38.516,29.07,19.779,26.624,30.376,35.838,35.692,35.644,42.543,35.953,37.447,40.396,46.035,57.79,75.059,98.547,122.114,174.831,215.568,174.564,170.294,192.835,179.243,189.83,199.981,177.877,185.334,210.529,243.498,250.993,251.699,286.015,299.47,351.074,380.561,406.202,431.677,453.108,474.421,497.1,,20.12,0.10,-12.59,-19.19,23.46,8.29,11.83,3.52,-10.41,-28.98,-24.52,-31.96,34.61,14.09,17.98,-0.41,-0.13,19.36,-15.49,4.16,7.88,13.96,25.53,29.88,31.29,23.91,43.17,23.30,-19.02,-2.45,13.24,-7.05,5.91,5.35,-11.05,4.19,13.59,15.66,3.08,0.28,13.63,4.70,17.23,8.40,6.74,6.27,4.96,4.70,4.78
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,71.603,196.227,293.768,335.777,412.685,433.704,287.672,209.657,278.264,328.475,370.062,461.518,633.294,817.717,1060.901,1393.416,1779.109,1307.927,1633.111,2046.621,2191.486,2288.428,2048.837,1356.703,1280.648,1575.14,1653.005,1695.724,1488.118,1843.13,2269.899,2009.959,2184.316,2195.708,2249.265,2304.56,2366.771,2413.167,,,,,,,,,,,,,,174.05,49.71,14.30,22.90,5.09,-33.67,-27.12,32.72,18.04,12.66,24.71,37.22,29.12,29.74,31.34,27.68,-26.48,24.86,25.32,7.08,4.42,-10.47,-33.78,-5.61,23.00,4.94,2.58,-12.24,23.86,23.15,-11.45,8.67,0.52,2.44,2.46,2.70,1.96
Rwanda,1.493,1.695,1.808,1.932,1.851,2.199,2.49,2.765,2.959,3.09,2.954,2.179,2.313,2.231,1.418,1.47,1.593,2.144,2.29,2.131,2.049,1.967,1.963,2.139,2.388,2.945,3.318,4.069,5.183,5.675,6.126,6.885,7.654,7.821,8.24,8.546,8.695,9.253,9.638,10.349,10.174,11.066,13.313,14.097,13.663,14.022,14.933,16.154,17.587,19.243,,13.53,6.67,6.86,-4.19,18.80,13.23,11.04,7.02,4.43,-4.40,-26.24,6.15,-3.55,-36.44,3.67,8.37,34.59,6.81,-6.94,-3.85,-4.00,-0.20,8.97,11.64,23.32,12.67,22.63,27.38,9.49,7.95,12.39,11.17,2.18,5.36,3.71,1.74,6.42,4.16,7.38,-1.69,8.77,20.31,5.89,-3.08,2.63,6.50,8.18,8.87,9.42
Saint Kitts and Nevis,0.058,0.069,0.079,0.078,0.091,0.101,0.119,0.136,0.161,0.179,0.203,0.201,0.223,0.243,0.272,0.293,0.312,0.351,0.366,0.389,0.421,0.458,0.481,0.469,0.507,0.547,0.644,0.689,0.778,0.774,0.779,0.836,0.825,0.875,0.953,0.957,1.007,1.058,1.076,1.107,0.884,0.859,0.981,1.056,1.158,1.223,1.295,1.363,1.43,1.501,,18.97,14.49,-1.27,16.67,10.99,17.82,14.29,18.38,11.18,13.41,-0.99,10.95,8.97,11.93,7.72,6.48,12.50,4.27,6.28,8.23,8.79,5.02,-2.49,8.10,7.89,17.73,6.99,12.92,-0.51,0.65,7.32,-1.32,6.06,8.91,0.42,5.22,5.06,1.70,2.88,-20.14,-2.83,14.20,7.65,9.66,5.61,5.89,5.25,4.92,4.97
Saint Lucia,0.17,0.194,0.183,0.197,0.251,0.284,0.34,0.375,0.429,0.486,0.579,0.613,0.674,0.684,0.713,0.762,0.788,0.805,0.877,0.921,0.932,0.892,0.899,0.987,1.066,1.135,1.268,1.331,1.427,1.4,1.483,1.569,1.598,1.66,1.749,1.808,1.869,1.999,2.061,2.095,1.499,1.867,2.343,2.43,2.569,2.682,2.808,2.93,3.048,3.171,,14.12,-5.67,7.65,27.41,13.15,19.72,10.29,14.40,13.29,19.14,5.87,9.95,1.48,4.24,6.87,3.41,2.16,8.94,5.02,1.19,-4.29,0.78,9.79,8.00,6.47,11.72,4.97,7.21,-1.89,5.93,5.80,1.85,3.88,5.36,3.37,3.37,6.96,3.10,1.65,-28.45,24.55,25.50,3.71,5.72,4.40,4.70,4.34,4.03,4.04
Saint Vincent and the Grenadines,0.089,0.11,0.123,0.132,0.146,0.157,0.174,0.19,0.217,0.232,0.26,0.275,0.3,0.309,0.313,0.341,0.358,0.376,0.403,0.422,0.428,0.462,0.488,0.509,0.55,0.58,0.644,0.714,0.733,0.714,0.72,0.714,0.73,0.765,0.771,0.787,0.814,0.844,0.884,0.91,0.865,0.889,0.989,1.083,1.173,1.245,1.305,1.366,1.431,1.498,,23.60,11.82,7.32,10.61,7.53,10.83,9.20,14.21,6.91,12.07,5.77,9.09,3.00,1.29,8.95,4.99,5.03,7.18,4.71,1.42,7.94,5.63,4.30,8.06,5.45,11.03,10.87,2.66,-2.59,0.84,-0.83,2.24,4.79,0.78,2.08,3.43,3.69,4.74,2.94,-4.95,2.77,11.25,9.50,8.31,6.14,4.82,4.67,4.76,4.68
Samoa,0.127,0.119,0.122,0.113,0.111,0.106,0.112,0.124,0.138,0.141,0.182,0.176,0.193,0.198,0.158,0.242,0.258,0.28,0.286,0.262,0.271,0.273,0.289,0.342,0.418,0.486,0.516,0.568,0.684,0.618,0.68,0.744,0.773,0.798,0.797,0.824,0.844,0.885,0.878,0.913,0.869,0.844,0.833,0.934,1.068,1.147,1.207,1.26,1.313,1.382,,-6.30,2.52,-7.38,-1.77,-4.50,5.66,10.71,11.29,2.17,29.08,-3.30,9.66,2.59,-20.20,53.16,6.61,8.53,2.14,-8.39,3.44,0.74,5.86,18.34,22.22,16.27,6.17,10.08,20.42,-9.65,10.03,9.41,3.90,3.23,-0.13,3.39,2.43,4.86,-0.79,3.99,-4.82,-2.88,-1.30,12.12,14.35,7.40,5.23,4.39,4.21,5.26
San Marino,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.008,1.06,1.148,1.462,1.714,1.788,1.91,2.189,2.403,2.062,1.883,1.813,1.606,1.678,1.674,1.42,1.468,1.528,1.656,1.616,1.543,1.857,1.833,1.988,2.049,2.112,2.188,2.252,2.324,2.401,,,,,,,,,,,,,,,,,,,,,,5.16,8.30,27.35,17.24,4.32,6.82,14.61,9.78,-14.19,-8.68,-3.72,-11.42,4.48,-0.24,-15.17,3.38,4.09,8.38,-2.42,-4.52,20.35,-1.29,8.46,3.07,3.07,3.60,2.93,3.20,3.31
Saudi Arabia,164.54,184.292,153.24,129.181,119.631,103.894,86.886,85.582,88.138,95.217,117.474,132.047,136.905,132.79,134.995,143.152,158.451,165.742,146.776,161.717,189.515,184.138,189.606,215.808,258.742,328.205,376.398,415.687,519.797,429.098,528.207,676.635,741.85,753.864,766.606,669.485,666,714.994,846.584,838.565,734.271,874.157,1108.571,1067.583,1100.706,1136.58,1199.156,1262.326,1332.093,1409.058,,12.00,-16.85,-15.70,-7.39,-13.15,-16.37,-1.50,2.99,8.03,23.38,12.41,3.68,-3.01,1.66,6.04,10.69,4.60,-11.44,10.18,17.19,-2.84,2.97,13.82,19.89,26.85,14.68,10.44,25.05,-17.45,23.10,28.10,9.64,1.62,1.69,-12.67,-0.52,7.36,18.40,-0.95,-12.44,19.05,26.82,-3.70,3.10,3.26,5.51,5.27,5.53,5.78
Senegal,4.338,3.934,3.85,3.435,3.35,3.668,5.188,6.241,6.173,6.083,7.078,6.955,7.435,7.014,4.746,6.026,6.3,5.867,6.416,6.599,6.016,6.508,7.001,8.767,10.072,11.015,11.699,13.996,16.852,16.128,16.134,17.811,17.672,18.919,19.802,17.777,19.035,20.989,23.127,23.405,24.534,27.584,27.744,30.937,33.685,37.804,40.606,43.459,47.234,52.509,,-9.31,-2.14,-10.78,-2.47,9.49,41.44,20.30,-1.09,-1.46,16.36,-1.74,6.90,-5.66,-32.34,26.97,4.55,-6.87,9.36,2.85,-8.83,8.18,7.58,25.22,14.89,9.36,6.21,19.63,20.41,-4.30,0.04,10.39,-0.78,7.06,4.67,-10.23,7.08,10.27,10.19,1.20,4.82,12.43,0.58,11.51,8.88,12.23,7.41,7.03,8.69,11.17
Serbia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,23.635,18.529,11.973,9.79,13.009,17.185,22.515,26.017,27.496,32.602,43.395,52.094,45.156,41.369,49.28,43.316,48.394,47.062,39.656,40.693,44.179,50.641,51.514,53.356,62.787,63.563,75.187,82.55,88.634,95.36,102.204,109.557,117.547,,,,,,,,,,,,,,,,,,,-21.60,-35.38,-18.23,32.88,32.10,31.02,15.55,5.68,18.57,33.11,20.05,-13.32,-8.39,19.12,-12.10,11.72,-2.75,-15.74,2.61,8.57,14.63,1.72,3.58,17.68,1.24,18.29,9.79,7.37,7.59,7.18,7.19,7.29
Seychelles,0.147,0.154,0.148,0.147,0.151,0.169,0.208,0.249,0.284,0.305,0.369,0.374,0.434,0.474,0.486,0.508,0.503,0.563,0.608,0.623,0.615,0.622,0.698,0.706,0.839,0.919,1.016,1.034,0.998,0.847,0.97,1.018,1.06,1.328,1.388,1.432,1.568,1.675,1.777,1.867,1.384,1.49,2.058,2.141,2.144,2.235,2.344,2.463,2.592,2.725,,4.76,-3.90,-0.68,2.72,11.92,23.08,19.71,14.06,7.39,20.98,1.36,16.04,9.22,2.53,4.53,-0.98,11.93,7.99,2.47,-1.28,1.14,12.22,1.15,18.84,9.54,10.55,1.77,-3.48,-15.13,14.52,4.95,4.13,25.28,4.52,3.17,9.50,6.82,6.09,5.06,-25.87,7.66,38.12,4.03,0.14,4.24,4.88,5.08,5.24,5.13
Sierra Leone,2.708,2.903,3.264,2.838,3.283,2.794,2.092,1.823,2.988,2.745,1.509,1.812,1.58,1.786,2.118,2.026,2.188,1.974,1.562,1.555,1.498,1.726,1.99,2.218,2.339,2.672,3.144,3.451,3.926,3.795,4.174,4.799,5.746,6.736,6.521,6.75,6.023,5.812,6.39,6.519,6.682,6.994,7.119,6.397,7.411,7.804,7.95,8.338,8.861,9.304,,7.20,12.44,-13.05,15.68,-14.89,-25.13,-12.86,63.91,-8.13,-45.03,20.08,-12.80,13.04,18.59,-4.34,8.00,-9.78,-20.87,-0.45,-3.67,15.22,15.30,11.46,5.46,14.24,17.66,9.76,13.76,-3.34,9.99,14.97,19.73,17.23,-3.19,3.51,-10.77,-3.50,9.94,2.02,2.50,4.67,1.79,-10.14,15.85,5.30,1.87,4.88,6.27,5.00
Singapore,12.082,14.367,15.879,18.011,19.563,18.573,18.78,21.629,26.551,31.436,38.892,45.465,52.131,60.604,73.689,87.813,96.293,100.124,85.728,86.287,96.077,89.794,92.538,97.646,115.034,127.808,148.627,180.942,193.617,194.15,239.808,279.357,295.093,307.576,314.864,307.999,319.054,343.257,376.893,376.902,349.488,434.111,498.475,501.428,530.708,561.725,587.669,614.145,641.802,670.938,,18.91,10.52,13.43,8.62,-5.06,1.11,15.17,22.76,18.40,23.72,16.90,14.66,16.25,21.59,19.17,9.66,3.98,-14.38,0.65,11.35,-6.54,3.06,5.52,17.81,11.10,16.29,21.74,7.01,0.28,23.52,16.49,5.63,4.23,2.37,-2.18,3.59,7.59,9.80,0.00,-7.27,24.21,14.83,0.59,5.84,5.84,4.62,4.51,4.50,4.54
Slovak Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.726,15.838,20.034,21.659,21.927,22.825,20.867,20.73,21.421,24.888,34.085,43.19,49.116,57.492,77.239,97.17,89.302,91.237,99.905,94.684,98.937,101.463,88.91,89.928,95.616,106.186,105.723,106.652,118.642,115.676,132.832,142.617,152.479,160.36,167.774,175.71,183.368,,,,,,,,,,,,,,,15.39,26.49,8.11,1.24,4.10,-8.58,-0.66,3.33,16.19,36.95,26.71,13.72,17.05,34.35,25.80,-8.10,2.17,9.50,-5.23,4.49,2.55,-12.37,1.14,6.33,11.05,-0.44,0.88,11.24,-2.50,14.83,7.37,6.92,5.17,4.62,4.73,4.36
Slovenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,19.285,16.637,16.857,21.399,21.48,20.769,22.08,22.668,20.262,20.693,23.263,29.399,34.19,36.002,39.293,47.886,55.503,49.921,47.832,51.19,46.196,47.868,49.527,42.714,44.279,48.136,53.713,53.916,53.342,61.57,59.975,69.168,73.198,77.354,81.009,84.63,88.513,92.64,,,,,,,,,,,,,,-13.73,1.32,26.94,0.38,-3.31,6.31,2.66,-10.61,2.13,12.42,26.38,16.30,5.30,9.14,21.87,15.91,-10.06,-4.18,7.02,-9.76,3.62,3.47,-13.76,3.66,8.71,11.59,0.38,-1.06,15.42,-2.59,15.33,5.83,5.68,4.73,4.47,4.59,4.66
Solomon Islands,0.183,0.194,0.193,0.181,0.182,0.166,0.148,0.155,0.176,0.173,0.215,0.228,0.269,0.301,0.403,0.469,0.511,0.527,0.458,0.488,0.42,0.41,0.346,0.353,0.398,0.477,0.539,0.62,0.699,0.736,0.847,1.05,1.185,1.286,1.336,1.308,1.379,1.47,1.615,1.619,1.536,1.523,1.566,1.633,1.73,1.835,1.946,2.071,2.204,2.346,,6.01,-0.52,-6.22,0.55,-8.79,-10.84,4.73,13.55,-1.70,24.28,6.05,17.98,11.90,33.89,16.38,8.96,3.13,-13.09,6.55,-13.93,-2.38,-15.61,2.02,12.75,19.85,13.00,15.03,12.74,5.29,15.08,23.97,12.86,8.52,3.89,-2.10,5.43,6.60,9.86,0.25,-5.13,-0.85,2.82,4.28,5.94,6.07,6.05,6.42,6.42,6.44
Somalia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.022,5.183,5.869,6.443,6.841,7.391,8.252,7.873,8.655,8.628,9.484,10.203,10.969,12.729,13.887,15.054,16.265,17.533,18.997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.21,13.24,9.78,6.18,8.04,11.65,-4.59,9.93,-0.31,9.92,7.58,7.51,16.05,9.10,8.40,8.04,7.80,8.35
South Africa,89.412,93.15,85.897,96.205,84.838,64.481,73.399,96.533,104.01,108.07,126.027,135.227,146.97,147.236,153.569,171.736,163.34,169.004,152.885,151.426,151.855,135.527,129.385,197.017,256.188,288.749,304.055,332.65,316.491,331.184,417.315,458.708,434.4,400.877,381.195,346.663,323.493,381.317,405.093,389.245,337.876,420.778,406.755,380.592,403.045,418.046,432.512,446.803,460.933,476.21,,4.18,-7.79,12.00,-11.82,-24.00,13.83,31.52,7.75,3.90,16.62,7.30,8.68,0.18,4.30,11.83,-4.89,3.47,-9.54,-0.95,0.28,-10.75,-4.53,52.27,30.03,12.71,5.30,9.40,-4.86,4.64,26.01,9.92,-5.30,-7.72,-4.91,-9.06,-6.68,17.87,6.24,-3.91,-13.20,24.54,-3.33,-6.43,5.90,3.72,3.46,3.30,3.16,3.31
"South Sudan, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,17.34,11.267,14.947,15.178,15.326,2.899,1.804,3.118,4.044,5.423,5.94,8.037,7.178,5.268,5.312,7.097,7.379,7.736,8.362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-35.02,32.66,1.55,0.98,-81.08,-37.77,72.84,29.70,34.10,9.53,35.30,-10.69,-26.61,0.84,33.60,3.97,4.84,8.09
Spain,231.048,204.843,197.89,173.072,172.597,181.847,251.618,318.787,374.535,413.106,536.322,577.166,630.91,529.98,531.801,614.713,642.48,590.5,619.541,635.025,598.367,627.803,708.437,907.736,1069.344,1155.306,1261.914,1476.92,1635.936,1494.963,1429.155,1487.307,1331.838,1362.207,1380.6,1206.287,1242.673,1321.288,1432.292,1403.651,1288.751,1462.216,1447.636,1620.558,1731.469,1827.576,1913.163,1986.266,2064.131,2145.861,,-11.34,-3.39,-12.54,-0.27,5.36,38.37,26.69,17.49,10.30,29.83,7.62,9.31,-16.00,0.34,15.59,4.52,-8.09,4.92,2.50,-5.77,4.92,12.84,28.13,17.80,8.04,9.23,17.04,10.77,-8.62,-4.40,4.07,-10.45,2.28,1.35,-12.63,3.02,6.33,8.40,-2.00,-8.19,13.46,-1.00,11.95,6.84,5.55,4.68,3.82,3.92,3.96
Sri Lanka,5.194,5.404,5.834,6.298,7.382,7.302,7.826,8.149,8.518,8.55,9.787,10.716,11.553,12.351,14.245,15.127,16.592,18.544,19.05,19.143,20.007,19.236,20.238,22.352,24.423,28.88,33.447,38.27,48.177,49.75,58.643,67.725,70.392,76.934,82.483,85.091,88,94.376,94.484,89.015,84.304,88.609,74.586,no data,no data,no data,no data,no data,no data,no data,,4.04,7.96,7.95,17.21,-1.08,7.18,4.13,4.53,0.38,14.47,9.49,7.81,6.91,15.33,6.19,9.68,11.76,2.73,0.49,4.51,-3.85,5.21,10.45,9.27,18.25,15.81,14.42,25.89,3.27,17.88,15.49,3.94,9.29,7.21,3.16,3.42,7.25,0.11,-5.79,-5.29,5.11,-15.83,,,,,,,
